アーキア　　　　　　　　　　　　　　　　あーきあ　　　　　　　　　　　　　　　　,N B.     ,古細菌、真核生物
没入感　　　　　　　　　　　　　　　　　ぼつにゅうかん　　　　　　　　　　　　　,N 1.     ,ｓｅｎｓｅ　ｏｆ　ｉｍｍｅｒｓｉｏｎ
ポップアップストア　　　　　　　　　　　ぽっぷあっぷすとあ　　　　　　　　　　　,N 5.     ,期間限定で出店する店舗
ボディーシェイパー　　　　　　　　　　　ぼでぃーしぇいぱー　　　　　　　　　　　,N B.     ,補正下着
ポトフ　　　　　　　　　　　　　　　　　ぽとふ　　　　　　　　　　　　　　　　　,N B.     ,鍋料理
哺乳類型爬虫類　　　　　　　　　　　　　ほにゅうるいがたはちゅうるい　　　　　　,N B.     ,
ポピュリズム　　　　　　　　　　　　　　ぽぴゅりずむ　　　　　　　　　　　　　　,N 1.     ,大衆主義
ポリアミド　　　　　　　　　　　　　　　ぽりあみど　　　　　　　　　　　　　　　,N B.     ,ｐｏｌｙｉｍａｄｅアミド結合によって多数のモノマーが結合してできたポリマー
ポリイミド　　　　　　　　　　　　　　　ぽりいみど　　　　　　　　　　　　　　　,N B.     ,ｐｏｌｙｉｍｉｄｅ繰り返し単位にイミド結合を含む高分子の総称
ポリウレア　　　　　　　　　　　　　　　ぽりうれあ　　　　　　　　　　　　　　　,N B.     ,イソシアネート成分とアミン成分の反応生成物から得られるエラストマー
ポリカーボネート　　　　　　　　　　　　ぽりかーぼねーと　　　　　　　　　　　　,N B.     ,
ポリコレ　　　　　　　　　　　　　　　　ぽりこれ　　　　　　　　　　　　　　　　,N 1.     ,ポリティカル・コレクトネス
ポリフェノール　　　　　　　　　　　　　ぽりふぇのーる　　　　　　　　　　　　　,N B.     ,
ポリロタキサン　　　　　　　　　　　　　ぽりろたきさん　　　　　　　　　　　　　,N B.     ,環動ポリマー構造
ホロノミック　　　　　　　　　　　　　　ほろのみっく　　　　　　　　　　　　　　,N 1.     ,拘束条件が座標と時間
ぼろ儲けする　　　　　　　　　　　　　　ぼろもうけする　　　　　　　　　　　　　,D 4.     ,
ホワイトアウトする　　　　　　　　　　　ほわいとあうとする　　　　　　　　　　　,D 4.  N  ,
ホワイト案件　　　　　　　　　　　　　　ほわいとあんけん　　　　　　　　　　　　,N 1.  P  ,合法的案件
ホワイトハッカー　　　　　　　　　　　　ほわいとはっかー　　　　　　　　　　　　,N 1.  P  ,不正侵入を監視する技術者
本庶　　　　　　　　　　　　　　　　　　ほんじょ　　　　　　　　　　　　　　　　,N 4.     ,人名ノーベル賞
ホンビノス貝　　　　　　　　　　　　　　ほんびのすがい　　　　　　　　　　　　　,N B.     ,
マーケーター　　　　　　　　　　　　　　まーけーたー　　　　　　　　　　　　　　,N 4.     ,サービスを売るための仕組みを作る人
ＭａａＳ　　　　　　　　　　　　　　　　まーす　　　　　　　　　　　　　　　　　,N 1.     ,Mobility as a Service旅行者一人一人のニーズに対応したサービス
マイクロＲＮＡ　　　　　　　　　　　　　まいくろあーるえぬえい　　　　　　　　　,N B.     ,
マイクロチップ　　　　　　　　　　　　　まいくろちっぷ　　　　　　　　　　　　　,N B.     ,動物の体内に埋め込むチップ
マイクロ波　　　　　　　　　　　　　　　まいくろは　　　　　　　　　　　　　　　,N B.     ,Ｍｉｃｒｏｗａｖｅ
マイクロプラスティック　　　　　　　　　まいくろぷらすてぃっく　　　　　　　　　,N B.     ,微少なプラスチックゴミ
マイコプラズマ　　　　　　　　　　　　　まいこぷらずま　　　　　　　　　　　　　,N B.     ,Ｍｙｃｏｐｌａｓｍａ発熱や全身倦怠感頭痛、痰を伴わない咳などの症状がみられます
マイナ　　　　　　　　　　　　　　　　　まいな　　　　　　　　　　　　　　　　　,N 1.     ,マイナンバー
マイナポイント　　　　　　　　　　　　　まいなぽいんと　　　　　　　　　　　　　,N 1.     ,
マイナポータル　　　　　　　　　　　　　まいなぽーたる　　　　　　　　　　　　　,N 1.     ,政府運営の電子サービス
マイナ保険証　　　　　　　　　　　　　　まいなほけんしょう　　　　　　　　　　　,N B.     ,
マイナンバー　　　　　　　　　　　　　　まいなんばー　　　　　　　　　　　　　　,N 1.     ,個人識別番号
マイナンバーカード　　　　　　　　　　　まいなんばーかーど　　　　　　　　　　　,N B.     ,個人識別顔写真付きカード
マイノリティー　　　　　　　　　　　　　まいのりてぃー　　　　　　　　　　　　　,N 4.     ,少数派
マイルストーン　　　　　　　　　　　　　まいるすとーん　　　　　　　　　　　　　,N 1.     ,
マイレージ　　　　　　　　　　　　　　　まいれーじ　　　　　　　　　　　　　　　,N 1.     ,
マインド　　　　　　　　　　　　　　　　まいんど　　　　　　　　　　　　　　　　,N 1.     ,精神
マインドコントロール　　　　　　　　　　まいんどこんとろーる　　　　　　　　　　,N 1.     ,精神支配
マインドフルネス　　　　　　　　　　　　まいんどふるねす　　　　　　　　　　　　,N 1.     ,ｍｉｎｄｆｕｌｎｅｓｓ「今」だけに集中できる精神状態を意識的につくること
マウンテンバイク　　　　　　　　　　　　まうんてんばいく　　　　　　　　　　　　,N B.     ,
まかない　　　　　　　　　　　　　　　　まかない　　　　　　　　　　　　　　　　,N 1.     ,
まかない料理　　　　　　　　　　　　　　まかないりょうり　　　　　　　　　　　　,N B.     ,
まか不思議　　　　　　　　　　　　　　　まかふしぎ　　　　　　　　　　　　　　　,C  .     ,
真逆　　　　　　　　　　　　　　　　　　まぎゃく　　　　　　　　　　　　　　　　,C  .     ,
膜タンパク質　　　　　　　　　　　　　　まくたんぱくしつ　　　　　　　　　　　　,N B.     ,
マグヌス効果　　　　　　　　　　　　　　まぐぬすこうか　　　　　　　　　　　　　,N 1.     ,Ｍａｇｎｕｓ　ｅｆｆｅｃｔ回転しながら進む物体にその進行方向に対して垂直の力（揚力）が働く
マグネシウム電池　　　　　　　　　　　　まぐねしうむでんち　　　　　　　　　　　,N B.     ,
幕張豊砂　　　　　　　　　　　　　　　　まくはりとよすな　　　　　　　　　　　　,N 7.     ,
枕状溶岩　　　　　　　　　　　　　　　　まくらじょうようがん　　　　　　　　　　,N B.     ,
枕投げする　　　　　　　　　　　　　　　まくらなげする　　　　　　　　　　　　　,D 4.     ,
マクロビオティック　　　　　　　　　　　まくろびおてぃっく　　　　　　　　　　　,N 1.     ,Ｍａｃｒｏｂｉｏｔｉｃ　食事法ないし思想
マクロファージ　　　　　　　　　　　　　まくろふぁーじ　　　　　　　　　　　　　,N 1.     ,ｍａｃｒｏｐｈｅｇｅ白血球の一種で、体内に侵入した細菌などの異物を捕食
益城町　　　　　　　　　　　　　　　　　ましきまち　　　　　　　　　　　　　　　,N 7.     ,
マジ切れする　　　　　　　　　　　　　　まじぎれする　　　　　　　　　　　　　　,D 4.  N  ,
マジッスか　　　　　　　　　　　　　　　まじっすか　　　　　　　　　　　　　　　,A  .     ,
マジョリティー　　　　　　　　　　　　　まじょりてぃー　　　　　　　　　　　　　,N 1.     ,ｍａｊｏｒｉｔｙ多数派
マスキングテープ　　　　　　　　　　　　ますきんぐてーぷ　　　　　　　　　　　　,N 1.     ,
マダニ　　　　　　　　　　　　　　　　　まだに　　　　　　　　　　　　　　　　　,N B.     ,
マタニティー　　　　　　　　　　　　　　またにてぃー　　　　　　　　　　　　　　,N B.     ,
まだ早い　　　　　　　　　　　　　　　　まだはやい　　　　　　　　　　　　　　　,F Y.     ,程度副詞でないのに形容詞を修飾する
町工場　　　　　　　　　　　　　　　　　まちこうば　　　　　　　　　　　　　　　,N 5.     ,
マチスモ　　　　　　　　　　　　　　　　まちすも　　　　　　　　　　　　　　　　,N 4.     ,男らしい男
マチュピチュ　　　　　　　　　　　　　　まちゅぴちゅ　　　　　　　　　　　　　　,N 7.     ,
マッコークジラ　　　　　　　　　　　　　まっこーくじら　　　　　　　　　　　　　,N B.     ,
